Zapotitlán 2 Tlaltenco Nopalera 0 0 0 0
Nopalera 2 Zapotitlán Olivos 0 0 0 0
Olivos 2 Nopalera Tezonco 0 0 0 0
Tezonco 2 Olivos Periférico_Oriente 0 0 0 0
Periférico_Oriente 2 Tezonco Calle_11 0 0 0 0
Calle_11 2 Periférico_Oriente Lomas_Estrella 0 0 0 0
Lomas_Estrella 2 Calle_11 San_Andrés_Tomatlán 0 0 0 0
San_Andrés_Tomatlán 2 Lomas_Estrella Culhuacán 0 0 0 0
Culhuacán 2 San_Andrés_Tomatlán Atlalilco 0 0 0 0
Mexicaltzingo 2 Atlalilco Ermita 0 0 0 0
Eje_central 2 Ermita Parque_de_los_venados 0 0 0 0
Parque_de_los_venados 2 Eje_central Zapata 0 0 0 0
Hospital_20_de_Noviembre 2 Zapata Insurgentes_Sur 0 0 0 0
Insurgentes_Sur 2 Hospital_20_de_Noviembre Mixcoac 0 0 0 0
Agrícola_Oriental 2 Pantitlán Canal_de_San_Juan 0 0 0 0
Canal_de_San_Juan 2 Agrícola_Oriental Tepalcates 0 0 0 0
Tepalcates 2 Canal_de_San_Juan Guelatao 0 0 0 0
Guelatao 2 Tepalcates Peñón_Viejo 0 0 0 0
Peñón_Viejo 2 Guelatao Acatitla 0 0 0 0
Acatitla 2 Peñón_Viejo Santa_Marta 0 0 0 0
Santa_Marta 2 Acatitla Los_Reyes 0 0 0 0
Los_Reyes 2 Santa_Marta La_Paz 0 0 0 0
La_Paz 1 Los_Reyes 0 0 0 0 0
Buenavista 1 Guerrero 0 0 0 0 0
Lagunilla 2 Garibaldi-Lagunilla Tepito 0 0 0 0
Tepito 2 Lagunilla Morelos 0 0 0 0
Ricardo_Flores_Magón 2 San_Lázaro Romero_Rubio 0 0 0 0
Romero_Rubio 2 Ricardo_Flores_Magón Oceanía 0 0 0 0
Deportivo_Oceanía 2 Oceanía Bosque_de_Aragón 0 0 0 0
Bosque_de_Aragón 2 Deportivo_Oceanía Villa_de_Aragón 0 0 0 0
Villa_de_Aragón 2 Bosque_de_Aragón Nezahualcóyotl 0 0 0 0
Nezahualcóyotl 2 Villa_de_Aragón Impulsora 0 0 0 0
Impulsora 2 Nezahualcóyotl Río_de_los_Remedios 0 0 0 0
Río_de_los_Remedios 2 Impulsora Múzquiz 0 0 0 0
Múzquiz 2 Río_de_los_Remedios Ecatepec 0 0 0 0
Ecatepec 2 Múzquiz Olímpica 0 0 0 0
Olímpica 2 Ecatepec Plaza_Aragón 0 0 0 0
Plaza_Aragón 2 Olímpica Ciudad_Azteca 0 0 0 0
Ciudad_Azteca 1 Plaza_Aragón 0 0 0 0 0
